* Freq(Hz), SPL(dB)
259.545685,93.152
261.426483,93.143
263.320862,93.134
265.229004,93.125
267.15097,93.117
269.086853,93.108
271.036774,93.1
273.000824,93.093
274.979095,93.086
276.97171,93.08
278.97876,93.074
281.000336,93.07
283.036591,93.067
285.087585,93.066
287.153442,93.066
289.234283,93.069
291.3302,93.073
293.441284,93.08
295.567688,93.087
297.709503,93.097
299.866821,93.108
302.039795,93.12
304.228485,93.135
306.433044,93.151
308.653595,93.17
310.890228,93.189
313.143066,93.211
315.412231,93.233
317.697845,93.257
320,93.282
322.318848,93.307
324.65451,93.333
327.00708,93.359
329.376709,93.386
331.763519,93.413
334.167603,93.441
336.589142,93.469
339.028198,93.497
341.484924,93.526
343.959473,93.554
346.451935,93.582
348.962463,93.61
351.491211,93.638
354.038239,93.665
356.60376,93.693
359.187866,93.72
361.79068,93.746
364.412354,93.771
367.05304,93.795
369.71286,93.818
372.391968,93.839
375.090454,93.86
377.808533,93.88
380.546265,93.898
383.303864,93.915
386.081451,93.93
388.87915,93.943
391.697144,93.955
394.535522,93.963
397.394501,93.97
400.27417,93.974
403.174744,93.976
406.096313,93.975
409.039062,93.972
412.003113,93.966
414.988647,93.957
417.99585,93.945
421.024811,93.93
424.075714,93.913
427.148743,93.894
430.244049,93.872
433.361786,93.847
436.502106,93.82
439.665161,93.791
442.851166,93.76
446.060242,93.726
449.292572,93.691
452.54834,93.655
455.827698,93.617
459.130798,93.58
462.457855,93.542
465.809021,93.504
469.184448,93.466
472.584381,93.429
476.008911,93.393
479.458252,93.358
482.932617,93.325
486.432159,93.293
489.957031,93.263
493.507477,93.236
497.083618,93.211
500.685699,93.189
504.313873,93.17
507.968323,93.154
511.649292,93.141
515.356934,93.132
519.09137,93.125
522.852966,93.122
526.641724,93.122
530.458008,93.126
534.301941,93.132
538.173706,93.142
542.073547,93.154
546.001648,93.169
549.958191,93.186
553.94342,93.205
557.95752,93.226
562.000671,93.247
566.073181,93.268
570.175171,93.29
574.306885,93.311
578.468567,93.332
582.6604,93.351
586.882568,93.37
591.135376,93.387
595.419006,93.402
599.733643,93.416
604.07959,93.427
608.45697,93.437
612.866089,93.445
617.30719,93.452
621.780457,93.457
626.286133,93.462
630.824463,93.465
635.395691,93.468
640,93.47
644.637695,93.473
649.309021,93.475
654.01416,93.478
658.753418,93.48
663.527039,93.482
668.335205,93.484
673.178284,93.483
678.056396,93.48
682.969849,93.475
687.918945,93.466
692.90387,93.454
697.924927,93.439
702.982422,93.421
708.076477,93.401
713.20752,93.381
718.375732,93.36
723.58136,93.341
728.824707,93.323
734.106079,93.308
739.42572,93.295
744.783936,93.286
750.180908,93.28
755.617065,93.278
761.092529,93.279
766.607727,93.285
772.162903,93.293
777.758301,93.306
783.394287,93.321
789.071045,93.339
794.789001,93.36
800.54834,93.384
806.349487,93.41
812.192627,93.438
818.078125,93.469
824.006226,93.501
829.977295,93.534
835.991699,93.569
842.049622,93.604
848.151428,93.64
854.297485,93.675
860.488098,93.711
866.723572,93.747
873.004211,93.782
879.330322,93.816
885.702332,93.849
892.120483,93.88
898.585144,93.91
905.09668,93.937
911.655396,93.963
918.261597,93.986
924.91571,94.007
931.618042,94.025
938.368896,94.04
945.168762,94.054
952.017822,94.065
958.916504,94.074
965.865234,94.081
972.864319,94.086
979.914062,94.09
987.014954,94.092
994.167236,94.094
1001.371399,94.094
1008.627747,94.094
1015.936646,94.093
1023.298584,94.091
1030.713867,94.089
1038.182739,94.088
1045.705933,94.086
1053.283447,94.084
1060.916016,94.082
1068.603882,94.079
1076.347412,94.077
1084.147095,94.073
1092.003296,94.069
1099.916382,94.064
1107.886841,94.057
1115.915039,94.049
1124.001343,94.038
1132.146362,94.025
1140.350342,94.009
1148.61377,93.99
1156.937134,93.967
1165.320801,93.94
1173.765137,93.909
1182.270752,93.874
1190.838013,93.835
1199.467285,93.792
1208.15918,93.745
1216.91394,93.696
1225.732178,93.645
1234.61438,93.595
1243.560913,93.547
1252.572266,93.505
1261.648926,93.47
1270.791382,93.443
1280,93.427
1289.275391,93.421
1298.618042,93.425
1308.02832,93.44
1317.506836,93.465
1327.054077,93.498
1336.67041,93.539
1346.356567,93.585
1356.112793,93.636
1365.939697,93.69
1375.837891,93.745
1385.807739,93.8
1395.849854,93.854
1405.964844,93.906
1416.152954,93.954
1426.415039,93.998
1436.751465,94.039
1447.16272,94.076
1457.649414,94.109
1468.212158,94.139
1478.85144,94.167
1489.567871,94.194
1500.361816,94.221
1511.234131,94.251
1522.185059,94.284
1533.215454,94.322
1544.325806,94.367
1555.516602,94.42
1566.788574,94.48
1578.14209,94.547
1589.578003,94.622
1601.09668,94.704
1612.698975,94.792
1624.385254,94.886
1636.15625,94.984
1648.012451,95.085
1659.95459,95.189
1671.983398,95.295
1684.099243,95.403
1696.302856,95.512
1708.594971,95.623
1720.976196,95.734
1733.447144,95.847
1746.008423,95.959
1758.660645,96.072
1771.404663,96.185
1784.240967,96.298
1797.170288,96.41
1810.193359,96.522
1823.310791,96.634
1836.523193,96.746
1849.831421,96.857
1863.236084,96.968
1876.737793,97.078
1890.337524,97.188
1904.035645,97.297
1917.833008,97.406
1931.730469,97.515
1945.728638,97.623
1959.828125,97.732
1974.029907,97.84
1988.334473,97.947
2002.742798,98.054
2017.255493,98.16
2031.873291,98.266
2046.597168,98.371
2061.427734,98.475
2076.365479,98.579
2091.411865,98.682
2106.566895,98.784
2121.832031,98.886
2137.207764,98.986
2152.694824,99.086
2168.294189,99.184
2184.006592,99.281
2199.832764,99.376
2215.773682,99.468
2231.830078,99.559
2248.002686,99.647
2264.292725,99.732
2280.700684,99.814
2297.227539,99.894
2313.874268,99.971
2330.641602,100.044
2347.530273,100.113
2364.541504,100.179
2381.676025,100.24
2398.93457,100.296
2416.318359,100.348
2433.827881,100.395
2451.464355,100.438
2469.22876,100.477
2487.121826,100.513
2505.144531,100.546
2523.297852,100.575
2541.582764,100.602
2560,100.625
2578.550781,100.645
2597.236084,100.661
2616.056641,100.675
2635.013672,100.684
2654.108154,100.69
2673.34082,100.691
2692.713135,100.687
2712.225586,100.677
2731.879395,100.66
2751.675781,100.635
2771.615479,100.604
2791.699707,100.565
2811.929688,100.519
2832.305908,100.465
2852.830078,100.405
2873.50293,100.338
2894.325439,100.266
2915.298828,100.188
2936.424316,100.107
2957.702881,100.023
2979.135742,99.936
3000.723633,99.848
3022.468262,99.758
3044.370117,99.668
3066.430908,99.578
3088.651611,99.488
3111.033203,99.4
3133.577148,99.313
3156.28418,99.227
3179.156006,99.144
3202.193359,99.063
3225.397949,98.985
3248.770508,98.91
3272.3125,98.838
3296.024902,98.769
3319.90918,98.703
3343.966797,98.64
3368.198486,98.581
3392.605713,98.524
3417.189941,98.471
3441.952393,98.421
3466.894287,98.374
3492.016846,98.329
3517.321289,98.286
3542.809326,98.244
3568.481934,98.204
3594.340576,98.166
3620.386719,98.129
3646.621582,98.093
3673.046387,98.057
3699.662842,98.023
3726.472168,97.989
3753.475586,97.955
3780.675049,97.921
3808.071289,97.887
3835.666016,97.854
3863.460938,97.821
3891.457275,97.79
3919.65625,97.761
3948.059814,97.736
3976.668945,97.714
4005.485596,97.699
4034.510986,97.69
4063.746582,97.688
4093.194336,97.695
4122.855469,97.71
4152.730957,97.736
4182.82373,97.773
4213.133789,97.82
4243.664062,97.879
4274.415527,97.948
4305.389648,98.027
4336.588379,98.116
4368.013184,98.213
4399.665527,98.319
4431.547363,98.432
4463.660156,98.552
4496.005371,98.677
4528.585449,98.807
4561.401367,98.939
4594.455078,99.074
4627.748535,99.21
4661.283203,99.344
4695.060547,99.476
4729.083008,99.604
4763.352051,99.727
4797.869141,99.843
4832.636719,99.951
4867.655762,100.052
4902.928711,100.144
4938.45752,100.23
4974.243652,100.309
5010.289062,100.383
5046.595703,100.455
5083.165527,100.529
5120,100.606
5157.101562,100.689
5194.472168,100.78
5232.113281,100.879
5270.027344,100.985
5308.216309,101.096
5346.681641,101.209
5385.42627,101.321
5424.451172,101.428
5463.758789,101.526
5503.351562,101.613
5543.230957,101.685
5583.399414,101.738
5623.859375,101.768
5664.611816,101.773
5705.660156,101.753
5747.005859,101.707
5788.650879,101.637
5830.597656,101.548
5872.848633,101.442
5915.405762,101.322
5958.271484,101.191
6001.447266,101.051
6044.936523,100.903
6088.740234,100.749
6132.861816,100.591
6177.303223,100.432
6222.066406,100.273
6267.154297,100.117
6312.568359,99.968
6358.312012,99.825
6404.386719,99.691
6450.795898,99.566
6497.541016,99.453
6544.625,99.35
6592.049805,99.258
6639.818359,99.178
6687.933594,99.109
6736.396973,99.052
6785.211426,99.007
6834.379883,98.974
6883.904785,98.953
6933.788574,98.943
6984.033691,98.945
