frequency_hz,realab_target_db_1k_aligned,qr_peq_fit_db_1k_aligned,fit_minus_target_db
112.792983,-1.474889,-1.632989,-0.1581
114.101257,-1.538355,-1.682422,-0.144067
115.424706,-1.603015,-1.730531,-0.127516
116.763505,-1.66713,-1.777247,-0.110117
118.117833,-1.731017,-1.822511,-0.091494
119.48787,-1.792777,-1.866273,-0.073496
120.873797,-1.853309,-1.908491,-0.055182
122.2758,-1.911646,-1.949136,-0.03749
123.694065,-1.969145,-1.988188,-0.019043
125.128779,-2.026644,-2.02564,0.001003
126.580135,-2.083593,-2.061496,0.022096
128.048325,-2.1382,-2.095772,0.042428
129.533544,-2.190907,-2.128493,0.062414
131.035991,-2.240589,-2.1597,0.080889
132.555864,-2.287566,-2.18944,0.098126
134.093366,-2.331277,-2.217773,0.113504
135.648701,-2.371537,-2.244766,0.126771
137.222076,-2.408409,-2.270497,0.137913
138.813701,-2.442892,-2.295047,0.147845
140.423787,-2.474836,-2.318508,0.156329
142.052548,-2.503214,-2.340973,0.162241
143.700201,-2.530248,-2.362541,0.167706
145.366965,-2.555803,-2.383313,0.172489
147.053061,-2.580044,-2.403391,0.176653
148.758714,-2.604002,-2.422877,0.181125
150.484151,-2.62696,-2.441873,0.185087
152.229602,-2.649813,-2.460477,0.189336
153.995297,-2.672173,-2.478785,0.193388
155.781473,-2.694534,-2.49689,0.197644
157.588366,-2.716894,-2.514878,0.202017
159.416217,-2.737761,-2.53283,0.204932
161.26527,-2.758525,-2.55082,0.207704
163.135769,-2.7786,-2.568917,0.209683
165.027964,-2.797766,-2.587179,0.210587
166.942106,-2.81605,-2.605658,0.210392
168.878451,-2.834619,-2.624396,0.210223
170.837254,-2.852111,-2.643427,0.208684
172.818778,-2.868083,-2.662774,0.205309
174.823286,-2.884055,-2.682453,0.201603
176.851043,-2.900027,-2.702466,0.197561
178.90232,-2.914533,-2.722808,0.191725
180.97739,-2.929908,-2.743464,0.186444
183.076528,-2.944283,-2.764407,0.179876
185.200014,-2.957657,-2.7856,0.172057
187.348129,-2.970323,-2.806998,0.163326
189.521161,-2.9806,-2.828543,0.152058
191.719398,-2.989538,-2.850169,0.139369
193.943131,-2.996572,-2.871801,0.124772
196.192658,-3.002315,-2.893353,0.108962
198.468276,-3.008704,-2.914731,0.093973
200.770289,-3.013655,-2.935835,0.07782
203.099003,-3.017447,-2.956555,0.060892
205.454728,-3.021606,-2.976775,0.044831
207.837776,-3.023801,-2.996375,0.027426
210.248465,-3.025343,-3.015228,0.010115
212.687115,-3.024919,-3.033205,-0.008286
215.154051,-3.022281,-3.050176,-0.027895
217.649601,-3.016872,-3.066006,-0.049135
220.174096,-3.010268,-3.080566,-0.070299
222.727873,-3.00147,-3.093726,-0.092257
225.311271,-2.991886,-3.10536,-0.113473
227.924633,-2.981297,-3.115347,-0.134051
230.568308,-2.97072,-3.123575,-0.152855
233.242646,-2.958936,-3.129938,-0.171002
235.948003,-2.947756,-3.134342,-0.186586
238.68474,-2.936576,-3.136703,-0.200127
241.45322,-2.925395,-3.136949,-0.211553
244.253811,-2.914215,-3.135023,-0.220808
247.086885,-2.903035,-3.130883,-0.227848
249.952821,-2.891854,-3.1245,-0.232646
252.851998,-2.881055,-3.115862,-0.234807
255.784802,-2.870494,-3.104973,-0.234479
258.751624,-2.860313,-3.091851,-0.231538
261.752857,-2.849133,-3.076531,-0.227398
264.788902,-2.837953,-3.059062,-0.221109
267.860161,-2.826405,-3.039506,-0.213101
270.967044,-2.814592,-3.01794,-0.203348
274.109963,-2.80085,-2.994451,-0.193601
277.289336,-2.786755,-2.969137,-0.182381
280.505586,-2.770783,-2.942105,-0.171321
283.759142,-2.754458,-2.913469,-0.159011
287.050435,-2.736889,-2.883352,-0.146462
290.379904,-2.718773,-2.851877,-0.133104
293.74799,-2.699607,-2.819174,-0.119568
297.155143,-2.679698,-2.785373,-0.105675
300.601815,-2.658935,-2.750605,-0.09167
304.088464,-2.637235,-2.714999,-0.077763
307.615555,-2.614875,-2.678682,-0.063808
311.183557,-2.592645,-2.641781,-0.049136
314.792943,-2.571153,-2.604415,-0.033262
318.444194,-2.549118,-2.566701,-0.017583
322.137795,-2.528354,-2.528749,-0.000395
325.874238,-2.506591,-2.490664,0.015927
329.65402,-2.485827,-2.452544,0.033283
333.477643,-2.465778,-2.414482,0.051296
337.345616,-2.445301,-2.376561,0.068739
341.258453,-2.425445,-2.338861,0.086584
345.216675,-2.405279,-2.301452,0.103827
349.220808,-2.38501,-2.264398,0.120612
353.271384,-2.364247,-2.227756,0.136491
357.368942,-2.343483,-2.191576,0.151907
361.514028,-2.321826,-2.155903,0.165923
365.707192,-2.298974,-2.120772,0.178202
369.948992,-2.275016,-2.086217,0.1888
374.239993,-2.250373,-2.052261,0.198112
378.580764,-2.223535,-2.018924,0.204611
382.971883,-2.196383,-1.986222,0.210161
387.413935,-2.167276,-1.954163,0.213113
391.907509,-2.13693,-1.922753,0.214177
396.453204,-2.106583,-1.891991,0.214592
401.051624,-2.074968,-1.861875,0.213093
405.703381,-2.043024,-1.832398,0.210626
410.409093,-2.009617,-1.803549,0.206068
415.169385,-1.976076,-1.775315,0.200761
419.984893,-1.942535,-1.747681,0.194855
424.856254,-1.907994,-1.720628,0.187366
429.784118,-1.873602,-1.694137,0.179465
434.76914,-1.839913,-1.668186,0.171727
439.811983,-1.806372,-1.642753,0.163619
444.913317,-1.772831,-1.617815,0.155016
450.07382,-1.740771,-1.593347,0.147424
455.29418,-1.710424,-1.569327,0.141098
460.575091,-1.680513,-1.545729,0.134784
465.917254,-1.652796,-1.522532,0.130264
471.32138,-1.626273,-1.499711,0.126562
476.788189,-1.602171,-1.477246,0.124925
482.318406,-1.57981,-1.455116,0.124694
487.912767,-1.557871,-1.433302,0.124569
493.572017,-1.536107,-1.411786,0.124321
499.296909,-1.515344,-1.390552,0.124792
505.088202,-1.494368,-1.369586,0.124781
510.946668,-1.472007,-1.348876,0.123131
516.873086,-1.449647,-1.32841,0.121236
522.868244,-1.427286,-1.30818,0.119106
528.932939,-1.404324,-1.288179,0.116145
535.067978,-1.380168,-1.268399,0.111769
541.274176,-1.355409,-1.248838,0.106571
547.55236,-1.329665,-1.229491,0.100174
553.903363,-1.301523,-1.210356,0.091167
560.328032,-1.272186,-1.191433,0.080753
566.827219,-1.241471,-1.17272,0.068751
573.40179,-1.20793,-1.154216,0.053714
580.052618,-1.174389,-1.135922,0.038467
586.780589,-1.140848,-1.117837,0.023011
593.586597,-1.107307,-1.099959,0.007349
600.471546,-1.074937,-1.082286,-0.007349
607.436354,-1.04376,-1.064816,-0.021055
614.481946,-1.013779,-1.047544,-0.033766
621.609259,-0.984067,-1.030465,-0.046398
628.819241,-0.953162,-1.013571,-0.060409
636.112851,-0.921062,-0.996852,-0.07579
643.491058,-0.888274,-0.980296,-0.092022
650.954845,-0.85398,-0.963888,-0.109909
658.505203,-0.820439,-0.947612,-0.127174
666.143138,-0.786898,-0.931447,-0.144549
673.869663,-0.753499,-0.91537,-0.161871
681.685808,-0.720816,-0.899353,-0.178537
689.592612,-0.688948,-0.883367,-0.194418
697.591126,-0.657668,-0.867376,-0.209709
705.682414,-0.626255,-0.851344,-0.225089
713.867551,-0.595909,-0.835229,-0.23932
722.147628,-0.565562,-0.818983,-0.253421
730.523744,-0.536538,-0.802558,-0.26602
738.997014,-0.506869,-0.785899,-0.27903
747.568564,-0.478039,-0.768946,-0.290907
756.239535,-0.44829,-0.751637,-0.303347
765.01108,-0.41954,-0.733904,-0.314363
773.884365,-0.390791,-0.715676,-0.324885
782.86057,-0.362947,-0.696877,-0.333929
791.940889,-0.336298,-0.677427,-0.341129
801.12653,-0.310843,-0.657244,-0.346401
810.418715,-0.287582,-0.636241,-0.348659
819.818678,-0.265516,-0.614328,-0.348812
829.327671,-0.245644,-0.591413,-0.345768
838.946957,-0.226967,-0.567401,-0.340434
848.677817,-0.210483,-0.542197,-0.331713
858.521543,-0.195195,-0.515703,-0.320508
868.479447,-0.1821,-0.487822,-0.305721
878.55285,-0.169323,-0.458456,-0.289133
888.743095,-0.15802,-0.42751,-0.26949
899.051535,-0.14584,-0.394889,-0.24905
909.479541,-0.13399,-0.360502,-0.226512
920.028501,-0.121213,-0.324259,-0.203046
930.699817,-0.108435,-0.286077,-0.177641
941.494908,-0.095197,-0.245875,-0.150678
952.415211,-0.079765,-0.20358,-0.123815
963.462177,-0.063138,-0.159124,-0.095986
974.637276,-0.045317,-0.112445,-0.067129
985.941994,-0.02615,-0.06349,-0.03734
997.377833,-0.005091,-0.012213,-0.007122
1008.946316,0.017313,0.041427,0.024114
1020.648981,0.041912,0.097459,0.055547
1032.487384,0.068705,0.155905,0.0872
1044.463099,0.096693,0.216782,0.120089
1056.577719,0.126307,0.280095,0.153787
1068.832855,0.158251,0.345843,0.187592
1081.230138,0.191448,0.41402,0.222572
1093.771215,0.22681,0.48461,0.2578
1106.457755,0.263546,0.557593,0.294047
1119.291445,0.302699,0.632942,0.330243
1132.273991,0.343063,0.710625,0.367562
1145.407121,0.38459,0.790606,0.406016
1158.692581,0.428537,0.872844,0.444307
1172.132137,0.474065,0.957295,0.483229
1185.727577,0.522193,1.043911,0.521718
1199.480709,0.572708,1.132643,0.559934
1213.393363,0.626014,1.223437,0.597423
1227.467388,0.680711,1.31624,0.635529
1241.704656,0.739002,1.410995,0.671992
1256.107061,0.799879,1.507642,0.707764
1270.676517,0.864144,1.606124,0.74198
1285.414964,0.930798,1.706376,0.775578
1300.32436,1.001841,1.808335,0.806494
1315.406688,1.076052,1.911935,0.835883
1330.663955,1.153845,2.017107,0.863262
1346.09819,1.235302,2.123778,0.888477
1361.711444,1.321041,2.231874,0.910833
1377.505796,1.410222,2.341314,0.931092
1393.483344,1.502792,2.452014,0.949222
1409.646214,1.59875,2.563886,0.965136
1425.996555,1.698097,2.676833,0.978736
1442.536543,1.799833,2.790755,0.990922
1459.268376,1.903804,2.905542,1.001738
1476.19428,2.009969,3.021079,1.01111
1493.316506,2.118329,3.13724,1.018912
1510.637331,2.227883,3.253893,1.026011
1528.159058,2.339632,3.370895,1.031264
1545.884018,2.452574,3.488095,1.035521
1563.814568,2.566711,3.605331,1.038619
1581.953092,2.682043,3.722432,1.040389
1600.302003,2.798638,3.83922,1.040582
1618.863742,2.917289,3.955505,1.038216
1637.640776,3.037203,4.07109,1.033887
1656.635603,3.15859,4.185773,1.027182
1675.850749,3.281296,4.299342,1.018046
1695.28877,3.405197,4.411583,1.006386
1714.95225,3.531292,4.52228,0.990988
1734.843805,3.658692,4.631214,0.972521
1754.96608,3.788774,4.738169,0.949395
1775.321751,3.921049,4.842933,0.921884
1795.913526,4.054519,4.9453,0.890781
1816.744142,4.191683,5.045076,0.853393
1837.816371,4.331236,5.142077,0.810841
1859.133014,4.472483,5.236137,0.763654
1880.696907,4.615925,5.327108,0.711183
1902.510917,4.760561,5.414862,0.654301
1924.577946,4.907391,5.499298,0.591907
1946.900928,5.055415,5.58034,0.524924
1969.482832,5.204635,5.65794,0.453305
1992.326661,5.35477,5.732081,0.377311
2015.435453,5.505781,5.802777,0.296996
2038.812282,5.656514,5.870072,0.213558
2062.460256,5.808246,5.934042,0.125796
2086.38252,5.959979,5.994794,0.034815
2110.582257,6.112977,6.052465,-0.060512
2135.062684,6.266306,6.107217,-0.159089
2159.827056,6.418636,6.15924,-0.259396
2184.878668,6.570855,6.208745,-0.362109
2210.220852,6.720338,6.255965,-0.464373
2235.856976,6.866128,6.301149,-0.564979
2261.790451,7.007334,6.344557,-0.662777
2288.024726,7.143514,6.386463,-0.75705
2314.56329,7.274874,6.427147,-0.847727
2341.409672,7.398816,6.46689,-0.931926
2368.567442,7.517386,6.505976,-1.011409
2396.040213,7.62912,6.544686,-1.084434
2423.831637,7.735176,6.583295,-1.151881
2451.945411,7.836315,6.62207,-1.214245
2480.385274,7.93187,6.661267,-1.270603
2509.155008,8.023064,6.701131,-1.321933
2538.258439,8.11005,6.741891,-1.368159
2567.699438,8.192869,6.783761,-1.409109
2597.48192,8.27126,6.826936,-1.444324
2627.609845,8.343511,6.871593,-1.471918
2658.087222,8.409749,6.917888,-1.491861
2688.918103,8.47043,6.965956,-1.504474
2720.106587,8.525919,7.015908,-1.510011
2751.656824,8.577627,7.067834,-1.509793
2783.573009,8.624948,7.121798,-1.50315
2815.859386,8.668686,7.177838,-1.490848
2848.52025,8.709423,7.235967,-1.473456
2881.559944,8.746189,7.29617,-1.450019
2914.982861,8.778372,7.358404,-1.419968
2948.793448,8.805972,7.422597,-1.383375
2982.9962,8.82881,7.488646,-1.340164
3017.595667,8.846423,7.556418,-1.290005
3052.596449,8.859273,7.625748,-1.233526
3088.003201,8.868512,7.696436,-1.172076
3123.820633,8.872225,7.768251,-1.103974
3160.053508,8.873657,7.840927,-1.03273
3196.706644,8.872132,7.914163,-0.957969
3233.784916,8.867219,7.987624,-0.879594
