10240.000000	96.891000
10314.203130	96.813000
10388.944340	96.736000
10464.226560	96.659000
10540.054690	96.582000
10616.432620	96.505000
10693.363280	96.428000
10770.852540	96.352000
10848.902340	96.276000
10927.517580	96.200000
11006.703130	96.125000
11086.461910	96.051000
11166.798830	95.976000
11247.718750	95.903000
11329.223630	95.830000
11411.320310	95.758000
11494.011720	95.687000
11577.301760	95.618000
11661.195310	95.549000
11745.697270	95.482000
11830.811520	95.417000
11916.542970	95.353000
12002.894530	95.290000
12089.873050	95.229000
12177.480470	95.169000
12265.723630	95.110000
12354.606450	95.052000
12444.132810	94.995000
12534.308590	94.939000
12625.136720	94.884000
12716.624020	94.830000
12808.773440	94.776000
12901.591800	94.722000
12995.082030	94.668000
13089.250000	94.615000
13184.099610	94.561000
13279.636720	94.507000
13375.867190	94.452000
13472.793950	94.398000
13570.422850	94.342000
13668.759770	94.287000
13767.809570	94.231000
13867.577150	94.176000
13968.067380	94.120000
14069.285160	94.064000
14171.237310	94.007000
14273.927730	93.950000
14377.362310	93.893000
14481.546880	93.835000
14586.486330	93.776000
14692.185550	93.717000
14798.651370	93.656000
14905.888670	93.594000
15013.902340	93.531000
15122.700200	93.467000
15232.285160	93.401000
15342.664060	93.333000
15453.843750	93.264000
15565.829100	93.193000
15678.625000	93.120000
15792.239260	93.046000
15906.675780	92.970000
16021.942380	92.894000
16138.043950	92.817000
16254.986330	92.739000
16372.777340	92.659000
16491.421880	92.579000
16610.923830	92.497000
16731.294920	92.414000
16852.535160	92.329000
16974.656250	92.244000
17097.662110	92.158000
17221.558590	92.071000
17346.353520	91.984000
17472.052730	91.897000
17598.662110	91.810000
17726.189450	91.724000
17854.640630	91.639000
17984.021480	91.555000
18114.341800	91.473000
18245.605470	91.394000
18377.820310	91.317000
18510.994140	91.243000
18645.132810	91.173000
18780.242190	91.107000
18916.332030	91.045000
19053.408200	90.989000
19191.476560	90.939000
19330.546880	90.892000
19470.623050	90.849000
19611.714840	90.797000
19753.830080	90.747000
19896.974610	90.698000
