* Freq(Hz), SPL(dB)
259.545685,91.14
261.426483,91.147
263.320862,91.154
265.229004,91.161
267.15097,91.168
269.086853,91.176
271.036774,91.183
273.000824,91.192
274.979095,91.2
276.97171,91.209
278.97876,91.219
281.000336,91.229
283.036591,91.239
285.087585,91.25
287.153442,91.261
289.234283,91.272
291.3302,91.284
293.441284,91.296
295.567688,91.308
297.709503,91.321
299.866821,91.334
302.039795,91.347
304.228485,91.361
306.433044,91.375
308.653595,91.389
310.890228,91.403
313.143066,91.416
315.412231,91.43
317.697845,91.444
320,91.457
322.318848,91.47
324.65451,91.484
327.00708,91.497
329.376709,91.51
331.763519,91.523
334.167603,91.535
336.589142,91.548
339.028198,91.561
341.484924,91.573
343.959473,91.586
346.451935,91.598
348.962463,91.611
351.491211,91.624
354.038239,91.637
356.60376,91.65
359.187866,91.663
361.79068,91.677
364.412354,91.691
367.05304,91.706
369.71286,91.721
372.391968,91.736
375.090454,91.752
377.808533,91.769
380.546265,91.786
383.303864,91.803
386.081451,91.821
388.87915,91.84
391.697144,91.859
394.535522,91.878
397.394501,91.897
400.27417,91.917
403.174744,91.937
406.096313,91.957
409.039062,91.978
412.003113,91.999
414.988647,92.02
417.99585,92.041
421.024811,92.062
424.075714,92.084
427.148743,92.105
430.244049,92.127
433.361786,92.148
436.502106,92.169
439.665161,92.19
442.851166,92.211
446.060242,92.232
449.292572,92.252
452.54834,92.271
455.827698,92.29
459.130798,92.309
462.457855,92.327
465.809021,92.344
469.184448,92.361
472.584381,92.377
476.008911,92.392
479.458252,92.406
482.932617,92.42
486.432159,92.434
489.957031,92.447
493.507477,92.461
497.083618,92.474
500.685699,92.487
504.313873,92.5
507.968323,92.514
511.649292,92.528
515.356934,92.542
519.09137,92.556
522.852966,92.57
526.641724,92.584
530.458008,92.599
534.301941,92.614
538.173706,92.63
542.073547,92.645
546.001648,92.661
549.958191,92.678
553.94342,92.696
557.95752,92.714
562.000671,92.733
566.073181,92.752
570.175171,92.773
574.306885,92.794
578.468567,92.815
582.6604,92.836
586.882568,92.857
591.135376,92.878
595.419006,92.899
599.733643,92.919
604.07959,92.939
608.45697,92.958
612.866089,92.977
617.30719,92.995
621.780457,93.014
626.286133,93.033
630.824463,93.053
635.395691,93.073
640,93.094
644.637695,93.114
649.309021,93.136
654.01416,93.157
658.753418,93.178
663.527039,93.199
668.335205,93.22
673.178284,93.241
678.056396,93.261
682.969849,93.282
687.918945,93.302
692.90387,93.321
697.924927,93.341
702.982422,93.361
708.076477,93.38
713.20752,93.399
718.375732,93.418
723.58136,93.437
728.824707,93.455
734.106079,93.473
739.42572,93.492
744.783936,93.51
750.180908,93.528
755.617065,93.547
761.092529,93.565
766.607727,93.583
772.162903,93.601
777.758301,93.619
783.394287,93.636
789.071045,93.653
794.789001,93.669
800.54834,93.685
806.349487,93.7
812.192627,93.714
818.078125,93.728
824.006226,93.741
829.977295,93.753
835.991699,93.765
842.049622,93.776
848.151428,93.786
854.297485,93.796
860.488098,93.805
866.723572,93.813
873.004211,93.821
879.330322,93.829
885.702332,93.836
892.120483,93.843
898.585144,93.851
905.09668,93.858
911.655396,93.866
918.261597,93.874
924.91571,93.882
931.618042,93.89
938.368896,93.898
945.168762,93.907
952.017822,93.917
958.916504,93.927
965.865234,93.938
972.864319,93.949
979.914062,93.961
987.014954,93.973
994.167236,93.986
1001.371399,94
1008.627747,94.014
1015.936646,94.029
1023.298584,94.045
1030.713867,94.062
1038.182739,94.079
1045.705933,94.097
1053.283447,94.115
1060.916016,94.135
1068.603882,94.155
1076.347412,94.175
1084.147095,94.197
1092.003296,94.219
1099.916382,94.242
1107.886841,94.265
1115.915039,94.29
1124.001343,94.314
1132.146362,94.34
1140.350342,94.366
1148.61377,94.392
