frequency,raw
259.545685,93.517
261.426483,93.466
263.320862,93.416
265.229004,93.367
267.15097,93.318
269.086853,93.27
271.036774,93.223
273.000824,93.177
274.979095,93.132
276.97171,93.087
278.97876,93.044
281.000336,93.001
283.036591,92.96
285.087585,92.918
287.153442,92.877
289.234283,92.836
291.3302,92.794
293.441284,92.752
295.567688,92.709
297.709503,92.666
299.866821,92.622
302.039795,92.578
304.228485,92.535
306.433044,92.493
308.653595,92.454
310.890228,92.417
313.143066,92.385
315.412231,92.358
317.697845,92.336
320.0,92.319
322.318848,92.308
324.65451,92.301
327.00708,92.298
329.376709,92.296
331.763519,92.294
334.167603,92.291
336.589142,92.286
339.028198,92.278
341.484924,92.268
343.959473,92.255
346.451935,92.24
348.962463,92.222
351.491211,92.202
354.038239,92.18
356.60376,92.157
359.187866,92.133
361.79068,92.108
364.412354,92.082
367.05304,92.056
369.71286,92.031
372.391968,92.005
375.090454,91.981
377.808533,91.959
380.546265,91.938
383.303864,91.92
386.081451,91.903
388.87915,91.887
391.697144,91.873
394.535522,91.859
397.394501,91.845
400.27417,91.831
403.174744,91.817
406.096313,91.803
409.039062,91.79
412.003113,91.778
414.988647,91.768
417.99585,91.76
421.024811,91.754
424.075714,91.75
427.148743,91.75
430.244049,91.752
433.361786,91.756
436.502106,91.763
439.665161,91.772
442.851166,91.783
446.060242,91.796
449.292572,91.81
452.54834,91.825
455.827698,91.841
459.130798,91.857
462.457855,91.875
465.809021,91.894
469.184448,91.913
472.584381,91.935
476.008911,91.957
479.458252,91.981
482.932617,92.008
486.432159,92.036
489.957031,92.067
493.507477,92.099
497.083618,92.134
500.685699,92.17
504.313873,92.207
507.968323,92.246
511.649292,92.285
515.356934,92.325
519.09137,92.365
522.852966,92.406
526.641724,92.447
530.458008,92.488
534.301941,92.529
538.173706,92.57
542.073547,92.61
546.001648,92.65
549.958191,92.689
553.94342,92.729
557.95752,92.77
562.000671,92.811
566.073181,92.853
570.175171,92.896
574.306885,92.94
578.468567,92.985
582.6604,93.031
586.882568,93.077
591.135376,93.124
595.419006,93.172
599.733643,93.221
604.07959,93.27
608.45697,93.32
612.866089,93.37
617.30719,93.42
