frequency,raw
259.545685,93.319
261.426483,93.317
263.320862,93.314
265.229004,93.312
267.15097,93.31
269.086853,93.308
271.036774,93.306
273.000824,93.305
274.979095,93.305
276.97171,93.305
278.97876,93.305
281.000336,93.306
283.036591,93.307
285.087585,93.309
287.153442,93.312
289.234283,93.315
291.3302,93.319
293.441284,93.324
295.567688,93.33
297.709503,93.336
299.866821,93.344
302.039795,93.354
304.228485,93.365
306.433044,93.378
308.653595,93.393
310.890228,93.408
313.143066,93.426
315.412231,93.444
317.697845,93.464
320.0,93.485
322.318848,93.508
324.65451,93.531
327.00708,93.556
329.376709,93.582
331.763519,93.609
334.167603,93.637
336.589142,93.667
339.028198,93.698
341.484924,93.729
343.959473,93.762
346.451935,93.795
348.962463,93.829
351.491211,93.864
354.038239,93.899
356.60376,93.935
359.187866,93.971
361.79068,94.007
364.412354,94.043
367.05304,94.08
369.71286,94.116
372.391968,94.152
375.090454,94.189
377.808533,94.225
380.546265,94.26
383.303864,94.294
386.081451,94.326
388.87915,94.356
391.697144,94.384
394.535522,94.409
397.394501,94.431
400.27417,94.45
403.174744,94.465
406.096313,94.478
409.039062,94.488
412.003113,94.494
414.988647,94.498
417.99585,94.498
421.024811,94.495
424.075714,94.49
427.148743,94.481
430.244049,94.47
433.361786,94.456
436.502106,94.44
439.665161,94.421
442.851166,94.401
446.060242,94.379
449.292572,94.355
452.54834,94.331
455.827698,94.306
459.130798,94.281
462.457855,94.257
465.809021,94.232
469.184448,94.209
472.584381,94.186
476.008911,94.165
479.458252,94.144
482.932617,94.124
486.432159,94.105
489.957031,94.088
493.507477,94.071
497.083618,94.055
500.685699,94.041
504.313873,94.029
507.968323,94.019
511.649292,94.011
515.356934,94.005
519.09137,94.001
522.852966,93.999
526.641724,93.998
530.458008,93.999
534.301941,94.0
538.173706,94.003
542.073547,94.005
546.001648,94.008
549.958191,94.01
553.94342,94.011
557.95752,94.01
562.000671,94.008
566.073181,94.004
570.175171,93.997
574.306885,93.988
578.468567,93.976
582.6604,93.962
586.882568,93.946
591.135376,93.927
595.419006,93.906
599.733643,93.884
604.07959,93.859
608.45697,93.832
612.866089,93.804
617.30719,93.774
621.780457,93.742
626.286133,93.709
630.824463,93.675
635.395691,93.64
640.0,93.604
644.637695,93.567
649.309021,93.531
