* Freq(Hz), SPL(dB)
259.545685,91.198
261.426483,91.179
263.320862,91.16
265.229004,91.141
267.15097,91.122
269.086853,91.103
271.036774,91.084
273.000824,91.064
274.979095,91.043
276.97171,91.023
278.97876,91.002
281.000336,90.981
283.036591,90.96
285.087585,90.938
287.153442,90.916
289.234283,90.893
291.3302,90.868
293.441284,90.842
295.567688,90.814
297.709503,90.785
299.866821,90.754
302.039795,90.723
304.228485,90.692
306.433044,90.661
308.653595,90.632
310.890228,90.605
313.143066,90.582
315.412231,90.562
317.697845,90.547
320,90.537
322.318848,90.532
324.65451,90.531
327.00708,90.533
329.376709,90.536
331.763519,90.54
334.167603,90.542
336.589142,90.541
339.028198,90.538
341.484924,90.532
343.959473,90.524
346.451935,90.512
348.962463,90.499
351.491211,90.483
354.038239,90.465
356.60376,90.445
359.187866,90.424
361.79068,90.403
364.412354,90.38
367.05304,90.358
369.71286,90.335
372.391968,90.313
375.090454,90.293
377.808533,90.275
380.546265,90.258
383.303864,90.243
386.081451,90.23
388.87915,90.219
391.697144,90.208
394.535522,90.199
397.394501,90.19
400.27417,90.181
403.174744,90.173
406.096313,90.165
409.039062,90.159
412.003113,90.154
414.988647,90.151
417.99585,90.15
421.024811,90.151
424.075714,90.156
427.148743,90.163
430.244049,90.174
433.361786,90.188
436.502106,90.204
439.665161,90.223
442.851166,90.244
446.060242,90.268
449.292572,90.293
452.54834,90.32
455.827698,90.348
459.130798,90.378
462.457855,90.409
465.809021,90.442
469.184448,90.476
472.584381,90.512
476.008911,90.55
479.458252,90.59
482.932617,90.633
486.432159,90.678
489.957031,90.726
493.507477,90.776
497.083618,90.828
500.685699,90.882
504.313873,90.937
507.968323,90.994
511.649292,91.052
515.356934,91.111
519.09137,91.17
522.852966,91.23
526.641724,91.291
530.458008,91.351
534.301941,91.411
538.173706,91.47
542.073547,91.529
546.001648,91.588
549.958191,91.646
553.94342,91.704
557.95752,91.762
562.000671,91.822
566.073181,91.882
570.175171,91.943
574.306885,92.004
578.468567,92.067
582.6604,92.13
586.882568,92.194
591.135376,92.259
595.419006,92.324
599.733643,92.39
604.07959,92.456
608.45697,92.522
612.866089,92.588
617.30719,92.654
621.780457,92.721
626.286133,92.787
630.824463,92.853
635.395691,92.919
640,92.986
644.637695,93.052
649.309021,93.118
654.01416,93.184
658.753418,93.251
663.527039,93.318
668.335205,93.385
673.178284,93.452
678.056396,93.518
682.969849,93.583
687.918945,93.646
692.90387,93.708
697.924927,93.768
702.982422,93.827
708.076477,93.884
713.20752,93.939
718.375732,93.993
723.58136,94.046
728.824707,94.097
734.106079,94.146
739.42572,94.194
744.783936,94.24
750.180908,94.284
755.617065,94.327
761.092529,94.368
766.607727,94.407
772.162903,94.444
777.758301,94.478
783.394287,94.511
789.071045,94.541
794.789001,94.569
800.54834,94.594
806.349487,94.616
812.192627,94.636
818.078125,94.653
824.006226,94.667
829.977295,94.679
835.991699,94.687
842.049622,94.692
848.151428,94.694
854.297485,94.693
860.488098,94.688
866.723572,94.681
873.004211,94.67
879.330322,94.657
885.702332,94.64
892.120483,94.621
898.585144,94.598
905.09668,94.574
